ticker,source_path,source_commit,source_url,download_timestamp_utc,rows,min_date,max_date,file_size,sha256
BA,data/SP500/BA.csv,14fec12f4af23d69633b6fd37e6d477facf0fa2b,https://raw.githubusercontent.com/zjplab/US-Trading-Data/14fec12f4af23d69633b6fd37e6d477facf0fa2b/data/SP500/BA.csv,2026-09-12T16:47:12.526285+00:00,16282,1962-01-02,2026-09-11,1891390,c011b154224297b2ba0114f46a340333a58c4c8933754e348baa9c17ecf2da90
GSPC,data/Indexes/^GSPC.csv,14fec12f4af23d69633b6fd37e6d477facf0fa2b,https://raw.githubusercontent.com/zjplab/US-Trading-Data/14fec12f4af23d69633b6fd37e6d477facf0fa2b/data/Indexes/%5EGSPC.csv,2026-09-12T16:47:13.137313+00:00,24791,1927-12-30,2026-09-11,2790077,f4344a086323fb65ec4dc261d7a2bf90a8ca28ddb7776f8e3d0aba7a2ccd6b2e
RTX,data/SP500/RTX.csv,14fec12f4af23d69633b6fd37e6d477facf0fa2b,https://raw.githubusercontent.com/zjplab/US-Trading-Data/14fec12f4af23d69633b6fd37e6d477facf0fa2b/data/SP500/RTX.csv,2026-09-12T16:47:13.792066+00:00,16219,1962-04-02,2026-09-11,1898870,95d6292c0c5d3330b699e6ac17c46221c7b640132dc5480b3792d974c9f41449
LMT,data/SP500/LMT.csv,14fec12f4af23d69633b6fd37e6d477facf0fa2b,https://raw.githubusercontent.com/zjplab/US-Trading-Data/14fec12f4af23d69633b6fd37e6d477facf0fa2b/data/SP500/LMT.csv,2026-09-12T16:47:14.519067+00:00,16281,1962-01-02,2026-09-11,1881893,395ae7c4f7b13efc3e527e23b748d68f1a43c48562f07d6c8c94add759ba3eda
NOC,data/SP500/NOC.csv,14fec12f4af23d69633b6fd37e6d477facf0fa2b,https://raw.githubusercontent.com/zjplab/US-Trading-Data/14fec12f4af23d69633b6fd37e6d477facf0fa2b/data/SP500/NOC.csv,2026-09-12T16:47:15.038849+00:00,11264,1981-12-31,2026-09-11,1291435,2b660613f619257f9feedbed93c42aa8e98f5e2a6152142c83ed708902ab81b1
GD,data/SP500/GD.csv,14fec12f4af23d69633b6fd37e6d477facf0fa2b,https://raw.githubusercontent.com/zjplab/US-Trading-Data/14fec12f4af23d69633b6fd37e6d477facf0fa2b/data/SP500/GD.csv,2026-09-12T16:47:15.666158+00:00,16282,1962-01-02,2026-09-11,1897864,3b673f715c16d0dc84bcccde31a1ea8bdf5fcba61a5640e3f15b87f69d6e86be
TDG,data/SP500/TDG.csv,14fec12f4af23d69633b6fd37e6d477facf0fa2b,https://raw.githubusercontent.com/zjplab/US-Trading-Data/14fec12f4af23d69633b6fd37e6d477facf0fa2b/data/SP500/TDG.csv,2026-09-12T16:47:16.512015+00:00,5156,2006-03-15,2026-09-11,588739,8d0ccba6d4a12d94a67fd9272756519f025a05284111f39c144eb96c8b7e28a7
HWM,data/SP500/HWM.csv,14fec12f4af23d69633b6fd37e6d477facf0fa2b,https://raw.githubusercontent.com/zjplab/US-Trading-Data/14fec12f4af23d69633b6fd37e6d477facf0fa2b/data/SP500/HWM.csv,2026-09-12T16:47:17.012194+00:00,2478,2016-11-01,2026-09-11,287101,f41ed436bddffbfa03f0279b2648f1c4aa342641c505efdfad79f6229795e8a5
