event,specification,alpha,beta_market,beta_sector,n_estimation
alaska,market_sector,-0.0004273694582966385,1.214334223293274,0.5115554915249141,221
alaska,market_only,-0.00045921924043912973,1.0057265350913491,,221
hearing,market_sector,-0.0016278144674629303,0.9610073032485671,0.6129899627408842,221
hearing,market_only,-0.00109893588823547,0.634274039298937,,221
netflix,market_sector,-0.0009496188649377907,1.4409924901268454,0.5686542986230374,221
netflix,market_only,-0.0006282754179603221,1.1489971738568991,,221
theatrical,market_sector,-0.001059624667646695,1.421705972310912,0.550513764634195,221
theatrical,market_only,-0.0007069449861245511,1.1366210995987136,,221
