event,parameter,draw_mean,draw_sd,lag1_autocorrelation,ess_approx,batch_mean_mcse,first_half_mean,second_half_mean,half_difference_in_sd
alaska,alpha,-0.0003520925171412384,0.000820203552700658,-0.02209143144964275,4000.0,1.1651597453242896e-05,-0.0003504576220695136,-0.0003537274122129632,0.003986559351862445
alaska,beta_market,1.1622971925821628,0.10991894738660138,0.04015548166947439,3658.192913229177,0.001518606340856649,1.1638370392265376,1.160757345937788,0.028017856447604364
alaska,beta_sector,0.517547775593339,0.11275865270186752,0.0659982611976462,3054.682504964563,0.0018610072354931565,0.520194811249705,0.5149007399369729,0.04695046620262067
alaska,sigma2,0.00011514227872982515,1.3708870509840123e-05,0.05381854334294055,3537.689476225969,2.604590795915342e-07,0.00011507358437752842,0.00011521097308212191,0.010021883604113727
hearing,alpha,-0.001511640389553543,0.0009858565108885175,-0.0028199743965921305,3786.4334606592515,1.1399171117150127e-05,-0.0015236167852266385,-0.0014996639938804472,0.024296427605477303
hearing,beta_market,1.0385215748621013,0.15992369291983982,0.034518506028135436,3614.540528701887,0.0020114037604087582,1.0405818259076327,1.0364613238165699,0.02576542609685865
hearing,beta_sector,0.5808088258609023,0.15773848250768402,0.07954726077792436,3445.9880227367653,0.002582325051367735,0.5788734341423626,0.582744217579442,0.0245392460707285
hearing,sigma2,0.00016508938440654364,2.0579050932340675e-05,0.05516754050338066,3570.3960600024006,3.0662814522877945e-07,0.00016493104908556967,0.00016524771972751761,0.015388010019951088
netflix,alpha,-0.0013813720573291315,0.001043939161976174,0.030227080851912336,3845.4604509172723,1.5128452639776851e-05,-0.0013861147875442559,-0.001376629327114007,0.009086219557366666
netflix,beta_market,1.4556639701538003,0.1378797154012525,0.026958175226823953,3930.306536241404,0.0013027357767347975,1.4553191545779465,1.4560087857296544,0.0050016867941814975
netflix,beta_sector,0.5936716419669062,0.09424441881406698,0.007540116671544351,4000.0,0.0011552674432237602,0.5933366895609438,0.5940065943728687,0.007108164285533057
netflix,sigma2,0.00017722274357171526,2.1449370362620022e-05,0.03057590974231375,3762.55940892043,2.974016414758643e-07,0.00017745927418064827,0.00017698621296278224,0.022054783421075926
theatrical,alpha,-0.001429289927874501,0.0010444691686843288,0.007218211224681518,4000.0,1.6761864882165002e-05,-0.001462257524103353,-0.0013963223316456493,0.06312794521331759
theatrical,beta_market,1.4292623699037936,0.13589777617772358,0.017147088695956655,3854.1980473444196,0.0025278030930974767,1.4292305441036983,1.4292941957038885,0.00046837852671651766
theatrical,beta_sector,0.5707101078425034,0.09369303249324022,0.0033888947367118525,3363.2907686014914,0.0017384408073103867,0.5719124474921976,0.5695077681928095,0.025665508260303553
theatrical,sigma2,0.00017846859992251112,2.131298278462549e-05,0.03848220449562273,3868.6284748259977,3.932834710866767e-07,0.00017917762826228444,0.0001777595715827378,0.06653487659970189
